deposits,withdrawals,stakes,product,age,target
70,20,80,bet,50+,0
50,20,100,bet,50+,0
40,10,40,gaming,30-50,0
40,NA,70,bet,<30,1
60,NA,930,gaming,<30,1
60,0,50,bet,50+,0
50,30,620,gaming,<30,1
40,20,0,gaming,<30,0
20,20,90,gaming,<30,1
40,20,110,bet,<30,0
20,50,50,gaming,<30,0
50,20,130,gaming,30-50,1
30,360,50,gaming,<30,0
40,30,110,bet,<30,1
70,10,90,bet,<30,0
60,20,120,gaming,<30,0
50,20,140,bet,30-50,1
60,20,150,bet,<30,0
30,10,30,bet,<30,0
60,10,110,bet,30-50,0
50,0,110,bet,<30,1
70,NA,110,bet,<30,0
60,10,130,gaming,<30,0
40,30,110,gaming,<30,0
50,20,160,gaming,30-50,0
60,20,110,bet,<30,0
70,30,130,bet,<30,0
50,10,80,bet,<30,0
60,10,40,gaming,30-50,0
70,20,70,bet,<30,0
60,20,60,gaming,30-50,0
40,40,140,bet,30-50,0
40,10,70,gaming,30-50,1
30,10,90,gaming,30-50,0
100,20,80,gaming,<30,0
70,10,110,gaming,30-50,0
50,NA,80,bet,50+,0
60,NA,30,bet,50+,0
60,NA,120,bet,50+,0
70,20,100,bet,50+,0
60,30,40,bet,30-50,1
20,30,90,gaming,30-50,0
20,NA,130,bet,<30,0
30,20,90,bet,<30,0
30,10,50,bet,<30,1
40,10,90,gaming,30-50,0
20,40,120,bet,30-50,0
50,20,140,bet,30-50,1
70,20,90,gaming,30-50,0
40,20,70,bet,30-50,1
50,10,30,gaming,<30,0
30,40,40,gaming,30-50,0
50,30,100,bet,30-50,0
50,30,70,gaming,30-50,1
20,NA,230,bet,30-50,0
20,10,80,bet,<30,0
70,20,140,gaming,<30,0
50,0,20,gaming,30-50,0
40,30,90,gaming,<30,1
40,10,120,gaming,<30,0
40,20,70,bet,<30,0
0,40,0,bet,50+,0
30,20,30,bet,<30,1
50,30,120,bet,30-50,0
50,NA,640,gaming,<30,1
70,30,150,bet,30-50,0
50,30,90,gaming,<30,1
30,10,70,gaming,50+,0
40,20,100,gaming,<30,0
50,20,100,bet,<30,1
40,NA,50,bet,<30,0
50,20,0,bet,30-50,0
60,10,110,bet,<30,0
30,20,90,bet,<30,0
70,20,160,bet,50+,0
80,30,90,gaming,30-50,1
40,10,70,bet,30-50,0
60,30,100,bet,<30,0
80,30,110,gaming,30-50,0
50,10,40,gaming,50+,0
20,30,0,gaming,50+,1
50,10,20,gaming,50+,0
30,20,110,bet,<30,0
50,10,90,bet,<30,0
50,30,60,gaming,50+,0
80,0,70,gaming,30-50,0
40,10,10,gaming,<30,0
50,10,60,gaming,50+,1
30,30,30,bet,<30,1
70,20,30,bet,30-50,0
50,NA,0,gaming,30-50,0
50,20,100,gaming,<30,0
70,30,540,bet,<30,1
40,20,50,gaming,<30,0
50,10,130,gaming,30-50,1
60,0,170,gaming,30-50,0
20,40,0,gaming,30-50,1
40,20,70,bet,<30,0
60,10,90,bet,50+,1
100,10,110,bet,<30,1
0,20,10,bet,<30,0
20,20,60,gaming,50+,0
70,10,80,bet,<30,0
70,10,110,bet,50+,0
20,20,80,bet,<30,0
60,0,50,gaming,30-50,0
50,30,60,bet,30-50,0
70,10,40,gaming,<30,0
50,20,110,bet,30-50,0
70,10,140,bet,<30,0
30,50,610,bet,50+,0
40,20,120,gaming,30-50,0
50,20,80,bet,<30,0
20,240,100,gaming,30-50,0
40,10,60,bet,<30,0
50,20,100,bet,<30,0
60,20,140,gaming,<30,1
40,20,1190,bet,30-50,0
10,10,10,bet,30-50,0
100,10,160,bet,<30,0
40,10,100,gaming,30-50,1
50,10,90,gaming,30-50,0
30,10,100,gaming,50+,0
50,30,110,gaming,30-50,0
80,10,190,gaming,<30,1
30,NA,90,bet,30-50,0
70,30,120,bet,50+,0
40,20,70,gaming,50+,0
30,10,10,gaming,50+,0
50,20,60,bet,<30,0
30,30,30,gaming,<30,1
80,30,180,bet,50+,0
70,10,100,gaming,30-50,0
40,NA,110,bet,<30,0
60,20,40,bet,50+,1
80,NA,120,gaming,<30,0
50,20,80,bet,50+,0
90,0,60,bet,30-50,1
50,30,110,bet,<30,0
70,20,110,bet,<30,0
70,30,60,gaming,<30,1
80,30,140,bet,30-50,0
90,20,210,bet,30-50,0
60,10,120,gaming,<30,0
60,10,90,bet,<30,0
50,10,90,bet,50+,0
60,40,160,bet,30-50,0
100,20,190,bet,<30,1
50,20,80,bet,<30,0
60,10,90,gaming,50+,0
50,10,40,gaming,<30,0
20,40,30,bet,50+,1
30,NA,80,bet,50+,1
20,30,40,bet,<30,0
10,40,10,bet,30-50,0
10,20,70,bet,<30,0
40,NA,1240,bet,30-50,0
60,0,30,gaming,50+,0
30,30,80,bet,30-50,0
30,10,110,bet,<30,0
80,20,110,gaming,30-50,0
50,30,50,bet,<30,0
50,20,50,bet,<30,1
30,30,110,gaming,<30,1
60,10,80,bet,30-50,0
60,NA,140,bet,50+,1
90,20,120,gaming,30-50,0
60,10,90,bet,30-50,0
70,20,140,gaming,<30,1
90,20,130,gaming,50+,0
50,10,60,bet,50+,0
20,20,0,gaming,<30,0
20,10,70,bet,50+,0
50,20,110,gaming,<30,0
40,20,120,bet,<30,0
50,30,50,gaming,<30,0
10,10,50,bet,30-50,0
50,30,90,gaming,<30,0
60,30,80,gaming,30-50,0
50,10,40,gaming,<30,0
60,20,0,bet,<30,0
70,0,40,gaming,30-50,0
50,10,130,bet,<30,0
50,10,90,gaming,50+,1
50,30,60,bet,30-50,0
50,0,40,bet,<30,1
50,10,30,gaming,30-50,0
50,10,60,bet,<30,0
50,30,60,bet,<30,0
70,20,40,bet,30-50,0
80,0,0,gaming,30-50,0
30,20,80,bet,30-50,0
30,30,20,gaming,<30,0
50,20,60,bet,<30,0
80,0,160,bet,<30,1
50,0,1520,bet,30-50,0
70,40,0,bet,<30,0
40,20,70,gaming,<30,0
70,10,100,bet,50+,1
70,20,80,bet,<30,0
100,10,110,gaming,<30,0
40,400,90,gaming,30-50,0
50,10,500,gaming,<30,1
80,10,110,gaming,30-50,0
0,30,60,gaming,50+,0
0,10,0,bet,<30,1
60,20,70,bet,30-50,0
50,20,10,gaming,50+,0
70,20,1390,bet,30-50,1
80,10,1400,gaming,30-50,1
50,50,80,bet,30-50,0
60,20,140,gaming,30-50,0
50,20,80,bet,<30,0
80,30,160,gaming,<30,0
60,10,80,gaming,30-50,0
40,20,90,gaming,30-50,0
